Mix Name,Material Source,Cement (kg/m3),Fly Ash (kg/m3),Slag (kg/m3),Water (kg/m3),HRWR (kg/m3),Fine Aggregate (kg/m3),Coarse Aggregates (kg/m3),Temp (C),Time,GWP,Strength1 (psi),Strength2 (psi),Strength3 (psi),Strength (Mean),Strength (Std),# of measurements,Slump (in)
M1,0,353.33,46.67,266.67,140,6.67,1833,0,22,1,321.57,5098,4960,4943,5000,85,3,
M1,0,353.33,46.67,266.67,140,6.67,1833,0,22,3,321.57,7018,7293,7395,7235,195,3,
M1,0,353.33,46.67,266.67,140,6.67,1833,0,22,5,321.57,7498,7438,7018,7318,262,3,
M1,0,353.33,46.67,266.67,140,6.67,1833,0,22,28,321.57,,10348,11370,10859,723,2,
M2,0,214.67,220,232,159,4,1833,0,22,1,209.2,3295,3475,3550,3440,131,3,
M2,0,214.67,220,232,159,4,1833,0,22,3,209.2,,4810,4300,4555,361,2,
M2,0,214.67,220,232,159,4,1833,0,22,5,209.2,4885,,4375,4630,361,2,
M2,0,214.67,220,232,159,4,1833,0,22,28,209.2,5708,,5765,5737,40,2,
M3,0,344,178.67,144,299,0,1833,0,22,1,284.69,1380,1478,1660,1506,142,3,
M3,0,344,178.67,144,299,0,1833,0,22,3,284.69,2993,2883,2878,2918,65,3,
M3,0,344,178.67,144,299,0,1833,0,22,5,284.69,3355,3698,3858,3637,257,3,
M3,0,344,178.67,144,299,0,1833,0,22,28,284.69,6713,6593,,6653,85,2,
M4,0,212,214.67,240,175,0,1833,0,22,1,194.01,2883,3278,3183,3115,206,3,
M4,0,212,214.67,240,175,0,1833,0,22,3,194.01,4098,4013,4730,4280,392,3,
M4,0,212,214.67,240,175,0,1833,0,22,5,194.01,4275,4013,4635,4308,312,3,
M4,0,212,214.67,240,175,0,1833,0,22,28,194.01,,4480,4870,4675,276,2,
M5,0,317.33,221.33,128,233,0,1833,0,22,1,263.93,,2885,2595,2740,205,2,
M5,0,317.33,221.33,128,233,0,1833,0,22,3,263.93,4238,4720,3983,4314,374,3,
M5,0,317.33,221.33,128,233,0,1833,0,22,5,263.93,4448,4485,4353,4429,68,3,
M5,0,317.33,221.33,128,233,0,1833,0,22,28,263.93,7897,8520,7273,7897,624,3,
M6,0,454.67,158.67,53.33,155,4,1833,0,22,1,375.06,6978,6285,,6632,490,2,
M6,0,454.67,158.67,53.33,155,4,1833,0,22,3,375.06,7558,7605,6743,7302,485,3,
M6,0,454.67,158.67,53.33,155,4,1833,0,22,28,375.06,8515,8603,9970,9029,816,3,
M7,0,436,33.33,197.33,256,0,1833,0,22,1,355.1,3225,3570,3438,3411,174,3,
M7,0,436,33.33,197.33,256,0,1833,0,22,3,355.1,5143,5250,4630,5008,331,3,
M7,0,436,33.33,197.33,256,0,1833,0,22,5,355.1,5525,5185,5213,5308,189,3,
M7,0,436,33.33,197.33,256,0,1833,0,22,28,355.1,6178,6813,6950,6647,412,3,
M8,0,318.67,52,296,317,0,1833,0,22,1,274.84,1608,1725,1645,1659,60,3,
M8,0,318.67,52,296,317,0,1833,0,22,3,274.84,2985,2683,3013,2894,183,3,
M8,0,318.67,52,296,317,0,1833,0,22,5,274.84,3555,3638,3978,3724,224,3,
M8,0,318.67,52,296,317,0,1833,0,22,28,274.84,6170,5340,5848,5786,418,3,
M9,0,265.33,164,237.33,185,1.33,1833,0,22,1,237.52,3708,3393,3495,3532,161,3,
M9,0,265.33,164,237.33,185,1.33,1833,0,22,3,237.52,5048,5460,5060,5189,234,3,
M9,0,265.33,164,237.33,185,1.33,1833,0,22,5,237.52,5503,5463,5738,5568,149,3,
M9,0,265.33,164,237.33,185,1.33,1833,0,22,28,237.52,8333,8598,9125,8685,403,3,
M10,0,529.6,0,137.07,276,0,1833,0,22,1,420.58,2995,3173,,3084,126,2,
M10,0,529.6,0,137.07,276,0,1833,0,22,3,420.58,4273,4355,4673,4434,211,3,
M10,0,529.6,0,137.07,276,0,1833,0,22,5,420.58,4870,,5355,5113,343,2,
M10,0,529.6,0,137.07,276,0,1833,0,22,28,420.58,6993,6993,6038,6675,551,3,
M11,0,503.07,163.6,0,237,0,1833,0,22,1,393.12,4123,4270,3925,4106,173,3,
M11,0,503.07,163.6,0,237,0,1833,0,22,3,393.12,5088,5183,4975,5082,104,3,
M11,0,503.07,163.6,0,237,0,1833,0,22,5,393.12,,5950,6328,6139,267,2,
M11,0,503.07,163.6,0,237,0,1833,0,22,28,393.12,6465,,7140,6803,477,2,
